ORF_ID	Best_Hit_ARO	ARO	Model_type	Drug Class	Resistance Mechanism	AMR Gene Family
F5510_30472_2	efmA	3003954	protein homolog model	macrolide antibiotic; fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F5510_49505_1	apmA	3003918	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	amp acetyltransferase
F5510_135526_1	spd	3002631	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	ANT(9)
F5510_142991_1	vatH	3002845	protein homolog model	streptogramin antibiotic	antibiotic inactivation	streptogramin vat acetyltransferase
F5510_292958_1	AAC(6')-Ii	3002556	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')
F5511_4978_2	aadA8	3002608	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')
F5512_104206_4	AAC(6')-Im	3004629	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')
F5520_127210_1	Mef(En2)	3004659	protein homolog model	macrolide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F5520_198939_2	AcrF	3000502	protein homolog model	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5525_48187_1	lnuA	3002835	protein homolog model	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)
F5525_133657_2	TEM-185	3001374	protein homolog model	monobactam; cephalosporin; penam; penem	antibiotic inactivation	TEM beta-lactamase
F4554_292429_1	AAC(6')-Ib10	3002581	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')
F4554_298029_3	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
F4554_298669_3	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F4554_341695_1	dfrG	3002868	protein homolog model	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr
F4560_219370_2	OXA-363	3001550	protein homolog model	cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase
F4554_407830_1	ANT(4')-Ib	3003905	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	ANT(4')
F4554_418991_4	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F4554_433723_4	tet(D)	3000168	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F4560_47860_2	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5533_292909_3	vgbA	3001307	protein homolog model	streptogramin antibiotic	antibiotic inactivation	streptogramin vgb lyase
F5560_266129_1	aadS	3004683	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	ANT(6)
F5569_263647_1	mdtM	3001214	protein homolog model	fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; acridine dye; phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F5570_342092_11	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5572_30580_8	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
F5572_60593_4	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5572_60894_5	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5572_65423_3	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
F5572_300597_2	AcrS	3000656	protein homolog model	fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5572_312046_1	catI	3002683	protein homolog model	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
F5574_285818_2	Mef(En2)	3004659	protein homolog model	macrolide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F5602_7821_4	APH(3')-Ib	3002642	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(3')
F5602_33595_1	sul4	3004361	protein homolog model	sulfonamide antibiotic	antibiotic target replacement	sulfonamide resistant sul
F5602_45809_1	OXA-50	3001796	protein homolog model	cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase
F5602_54635_3	APH(6)-Ic	3002659	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(6)
F5602_61117_1	APH(3')-IX	3004087	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(3')
F5589_29931_4	AcrF	3000502	protein homolog model	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5589_370736_5	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5594_34062_6	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5602_100693_2	tet(D)	3000168	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F5602_102270_2	dfrA20	3003016	protein homolog model	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr
F5602_110526_2	Campylobacter coli chloramphenicol acetyltransferase	3004454	protein homolog model	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
F5602_156163_1	tet(D)	3000168	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F5602_164122_1	tet(D)	3000168	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F5612_277897_4	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5610_54496_12	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5610_325329_2	OXA-21	3001416	protein homolog model	cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase
F5612_147575_171	vanC	3000368	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
F5612_147575_172	vanXYC	3002966	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanXY
F5612_147575_173	vanTC	3002970	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT
F5612_147575_174	vanRC	3002922	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR
F5612_147575_175	vanSC	3002933	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	vanS; glycopeptide resistance gene cluster
F5622_46635_1	aadA24	3002621	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')
F5617_200272_2	mef(B)	3003107	protein homolog model	macrolide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F5619_171412_2	ErmB	3000375	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
F5622_95470_2	ugd	3003577	protein homolog model	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase
F5622_95470_3	ugd	3003577	protein homolog model	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase
F5633_93149_1	tet(W/N/W)	3004442	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
F5633_119847_5	emrB	3000074	protein homolog model	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F5622_183101_1	arr-3	3002848	protein homolog model	rifamycin antibiotic	antibiotic inactivation	rifampin ADP-ribosyltransferase (Arr)
F5635_88464_2	lnuA	3002835	protein homolog model	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)
F5634_90403_2	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5634_601474_2	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
F5635_31478_56	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5640_96499_1	tet(44)	3000556	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
F5641_29624_4	tet(B)	3000166	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F4563_99289_18	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F4563_148012_11	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F4563_246936_6	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
F4563_246936_7	vanXYG	3003069	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanXY
F4580_104165_2	mdtC	3000794	protein homolog model	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F4580_228608_2	mdtE	3000795	protein homolog model	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
I4930_27387_2	Erm(36)	3000605	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
F5642_74982_1	Erm(49)	3004626	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
I4930_111183_1	OXA-10	3001405	protein homolog model	cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase
I5640_363932_3	tet(W/N/W)	3004442	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
I5640_370446_3	ErmT	3000595	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
I4930_194987_2	Enterococcus faecium chloramphenicol acetyltransferase	3004456	protein homolog model	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
I4930_195502_2	emrA	3000027	protein homolog model	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
I4930_196098_1	dfrB1	3002864	protein homolog model	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr
I4978_19526_2	emrB	3000074	protein homolog model	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
I4978_96314_1	dfrA5	3002861	protein homolog model	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr
I4978_131384_3	ErmF	3000498	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
I4978_137826_1	aadA27	3004682	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')
I4978_177147_1	catB2	3002675	protein homolog model	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
I4978_192977_2	tet(D)	3000168	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
I4978_232060_3	ANT(6)-Ia	3002626	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	ANT(6)
I5021_28556_2	mphC	3000319	protein homolog model	macrolide antibiotic	antibiotic inactivation	macrolide phosphotransferase (MPH)
I5021_49489_2	EreA	3000361	protein homolog model	macrolide antibiotic	antibiotic inactivation	macrolide esterase
I5021_142911_8	ANT(9)-Ia	3002630	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	ANT(9)
I5021_161479_17	tet(W/N/W)	3004442	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
I5021_182917_1	tet(45)	3003196	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
I5640_17813_2	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
I5640_169086_1	tet(D)	3000168	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
W4930_13619_5	tetQ	3000191	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
W4930_27741_4	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
W5021_113190_4	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
W5021_144421_2	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
W5021_196528_2	rmtF	3002666	protein homolog model	aminoglycoside antibiotic	antibiotic target alteration	16S rRNA methyltransferase (G1405)
W5021_203009_4	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
W4930_57080_2	Erm(35)	3000604	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
W4930_99045_5	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
W4930_137637_2	npmA	3002665	protein homolog model	aminoglycoside antibiotic	antibiotic target alteration	16S rRNA methyltransferase (A1408)
W4950_10281_3	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
W4950_75331_2	CMY-2	3002013	protein homolog model	cephalosporin; cephamycin	antibiotic inactivation	CMY beta-lactamase
W4974_16217_2	mdtE	3000795	protein homolog model	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
W4974_69796_1	emrY	3000254	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
W4978_43143_2	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
W4982_34048_2	YojI	3003952	protein homolog model	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump
W4982_51039_5	emrA	3000027	protein homolog model	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
W4982_56607_2	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
W4982_68475_1	OXA-347	3001777	protein homolog model	cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase
W5007_28008_1	catII from Escherichia coli K-12	3004656	protein homolog model	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
W5021_3427_2	lnuC	3002837	protein homolog model	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)
W5021_248988_9	tet(W/N/W)	3004442	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
allSample_unmapped_743696_8	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_800193_1	aadA16	3002616	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')
W5042_40985_3	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
W5042_69932_11	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_20707_15	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_21524_20	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_25286_83	ErmD	3000495	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
allSample_unmapped_235630_44	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_314921_4	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_332715_1	ErmF	3000498	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
allSample_unmapped_364501_3	OXA-280	3001735	protein homolog model	cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase
allSample_unmapped_451287_4	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_473639_3	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_512973_2	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_820553_13	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_834266_8	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_839708_13	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_954151_1	AAC(6')-IIc	3002596	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')
allSample_unmapped_1123627_4	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_1171350_5	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_1252629_1	SAT-4	3002897	protein homolog model	nucleoside antibiotic	antibiotic inactivation	streptothricin acetyltransferase (SAT)
allSample_unmapped_1281537_32	bcrC	3003250	protein homolog model	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins
allSample_unmapped_1281537_33	bcrB	3002988	protein homolog model	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump
allSample_unmapped_1281537_34	bcrA	3002987	protein homolog model	peptide antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump
allSample_unmapped_1303583_36	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_1519045_1	FosD	3004674	protein homolog model	fosfomycin	antibiotic inactivation	fosfomycin thiol transferase
allSample_unmapped_1532726_2	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_1539995_1	SAT-4	3002897	protein homolog model	nucleoside antibiotic	antibiotic inactivation	streptothricin acetyltransferase (SAT)
allSample_unmapped_1615134_4	CblA-1	3002999	protein homolog model	cephalosporin	antibiotic inactivation	CblA beta-lactamase
allSample_unmapped_1629414_1	lnuC	3002837	protein homolog model	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)
allSample_unmapped_1853324_2	vgaD	3002832	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_1899261_1	QnrD1	3002788	protein homolog model	fluoroquinolone antibiotic	antibiotic target protection	quinolone resistance protein (qnr)
allSample_unmapped_1908467_2	tet(D)	3000168	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
allSample_unmapped_1940837_2	APH(2'')-If	3004191	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(2'')
allSample_unmapped_1943217_3	tet(45)	3003196	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
allSample_unmapped_1951558_4	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_1957818_4	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_1992796_16	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_2001960_2	cfrC	3004146	protein homolog model	phenicol antibiotic	antibiotic target alteration	Cfr 23S ribosomal RNA methyltransferase
allSample_unmapped_2028442_1	tetQ	3000191	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
allSample_unmapped_2102297_11	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_2169254_12	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_2212148_2	APH(3'')-Ib	3002639	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(3'')
allSample_unmapped_2271975_1	APH(2'')-Ie	3002634	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(2'')
allSample_unmapped_2426953_5	rmtD	3002667	protein homolog model	aminoglycoside antibiotic	antibiotic target alteration	16S rRNA methyltransferase (G1405)
allSample_unmapped_2443834_5	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_2568852_2	CTX-M-55	3001917	protein homolog model	cephalosporin	antibiotic inactivation	CTX-M beta-lactamase
allSample_unmapped_2677222_5	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_2840534_3	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_2846545_2	Pseudomonas aeruginosa soxR	3004107	protein homolog model	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; acridine dye; rifamycin antibiotic; phenicol antibiotic; triclosan	antibiotic target alteration; antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_2946305_4	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_2985769_39	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_3072854_2	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
allSample_unmapped_3095724_28	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
allSample_unmapped_3156510_7	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
allSample_unmapped_3181531_15	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
